number.json,type,content
12737.json,half-true,"['say', 'u.s.', 'senat', ',', 'russ', 'feingold', 'vote', 'author', 'militari', '<num>', 'separ', 'time', '.']"
8803.json,mostly-true,"['tax', 'control', 'alreadi', 'put', 'place', ',', 'properti', 'tax', 'typic', 'home', 'decemb', '<num>', 'actual', 'lower', 'decemb', '<num>', '.']"
4633.json,false,"['<num>', '-', '<num>', '-', '<num>', 'plan', 'rais', 'tax', 'make', 'least', '.']"
8607.json,true,"['support', 'sequest', '.']"
8404.json,false,"['say', 'u.s.', 'rep.', 'debbi', 'wasserman', 'schultz', 'vote', 'cut', 'florida', 'veteran', 'benefit', '.']"
9653.json,half-true,"['look', 'weve', 'done', 'last', 'sever', 'year', ',', 'crime', 'rate', 'actual', 'gone', '[', 'provid', ']', '.', '.', '.', 'number', 'shoot', 'go', '.']"
13002.json,mostly-true,"['least', '<num>', 'countri', 'refus', 'take', 'peopl', 'back', 'theyv', 'order', 'leav', 'unit', 'state', ',', 'includ', 'larg', 'number', 'violent', 'crimin', '.']"
5673.json,mostly-true,"['say', 'jeff', 'wentworth', 'republican', 'vote', 'texa', 'measur', 'requir', 'women', 'sonogram', 'receiv', 'abort', '.']"
12126.json,half-true,"['stephen', 'zappala', 'da', 'state', 'convict', 'on-duti', 'polic', 'offic', 'crimin', 'homicid', '.']"
3574.json,false,"['say', 'feder', 'govern', 'borrow', 'almost', '$', '<num>', 'billion', 'per', 'week', '.']"
7086.json,false,"['clayton', 'counti', 'offer', 'lowest', 'oper', 'millag', 'rate', 'metro', 'atlanta', '.']"
8487.json,half-true,"['cfo', ',', 'alex', 'sink', 'oversaw', '$', '<num>', 'billion', 'loss', 'state', 'pension', 'fund', '.']"
1510.json,mostly-true,"['bank', 'presid', ',', 'alex', 'sink', 'elimin', 'thousand', 'florida', 'job', 'take', '$', '<num>', 'million', 'salari', 'bonus', '.']"
5605.json,mostly-true,"['say', 'new', 'jersey', 'educ', 'popul', 'state', 'countri', '.']"
5798.json,barely-true,"['wisconsin', 'law', 'repeal', 'republican', ',', 'allow', 'discrimin', 'worker', 'sue', 'state', 'court', ',', 'kind', 'gravi', 'train', 'lawyer', '.']"
8244.json,true,"['past', 'twenti', 'year', ',', 'number', 'homicid', 'commit', 'firearm', 'unit', 'state', 'decreas', 'nearli', '<num>', 'percent', '.', 'number', 'crime', 'involv', 'use', 'firearm', 'also', 'plummet', ',', 'declin', 'nearli', '<num>', 'percent', '.']"
546.json,true,"['say', 'obama', 'oppos', 'offshor', 'drill', 'ga', 'tax', 'holiday', '.']"
7354.json,true,"['say', 'right', ',', 'militari', 'spend', 'next', '<num>', ',', '<num>', ',', '<num>', 'countri', 'combin', '.']"
11376.json,false,"['rememb', 'develop', 'forc', 'use', '<num>', 'land', 'union', 'contractor', ',', 'tap', 'extra', '$', '<num>', 'million', 'construct', 'project', '.']"
5725.json,false,"['say', 'new', 'jersey', 'devil', 'manag', 'partner', 'jeff', 'vanderbeek', 'took', 'us', 'arbitr', '.']"
6614.json,true,"['say', 'feder', 'judg', 'sanction', 'tennesse', 'birther', 'lawyer', 'bring', 'frivol', 'lawsuit', '.']"
1544.json,true,"['due', '...', 'tax', 'cut', 'lower', '(', 'properti', ')', 'valu', ',', '<num>', 'properti', 'tax', 'almost', '$', '<num>', 'billion', '<num>', 'properti', 'tax', '.']"
8045.json,true,"['food', 'stamp', 'spend', 'doubl', 'presid', 'bush', ',', 'doubl', 'presid', 'obama', '.']"
10508.json,false,"['count', 'state', 'budget', 'shortfal']"
11550.json,barely-true,"['lose', '$', '<num>', 'billion', 'year', 'term', 'imbal', 'china', '.']"
12292.json,barely-true,"['today', 'america', ',', '<num>', '<num>', 'percent', 'african-american', 'babi', ',', 'virtual', '<num>', '-in-', '<num>', ',', 'kill', 'born', '.']"
7022.json,half-true,"['women', 'barack', 'obama', 'white', 'hous', 'earn', 'less', 'men', '.']"
2779.json,true,"['say', 'new', 'financi', 'servic', 'law', 'requir', '<num>', 'regulatori', 'file', '.']"
1686.json,half-true,"['marco', 'rubio', '``', 'subpoena', '.', ""''""]"
5493.json,true,"['<num>', '<num>', 'cost', 'colleg', 'educ', 'increas', '<num>', 'percent', '.']"
12558.json,half-true,"['governor', ',', 'face', 'partisan', 'attack', ',', '(', 'charli', 'crist', ')', 'courag', 'save', 'job', 'lead', 'state', 'econom', 'recoveri', '.']"
6081.json,false,"['tip', 'left', 'dunkin', 'donut', 'dont', 'go', 'employe', '.']"
10213.json,barely-true,"['senior', 'citizen', ',', 'hispan', ',', 'fastest-grow', 'demograph', 'countri', '.']"
12216.json,false,"['ban', 'assault', 'weapon', '.']"
5028.json,barely-true,"['say', 'murder', 'chief', 'caus', 'death', 'pregnant', 'women', '.']"
7041.json,half-true,"['single-pay', 'healthcar', 'system']"
6938.json,half-true,"['say', 'administr', 'creat', '<num>', 'million', 'job', 'last', '<num>', 'month', 'privat', 'sector', 'alon', '.']"
3150.json,true,"['u.s.', 'lose', 'tax', 'break', 'collect', 'person', 'incom', 'tax', '.']"
7763.json,half-true,"['four', 'balanc', 'budget', 'row', ',', 'new', 'tax', 'anyon', '.', 'best', 'job', 'growth', '<num>', 'year', '.', 'nearli', '<num>', 'new', 'private-sector', 'job', '.', 'merit', 'pay', 'reward', 'new', 'jersey', 'best', 'teacher', ',', 'educ', 'fund', 'ever', '.']"
5014.json,true,"['say', 'joe', 'biden', 'said', 'jon', 'corzin', 'smartest', 'guy', 'know', ',', 'term', 'economi', 'financ', ',', 'realli', 'mean', '.']"
1804.json,false,"['taxpayer-fund', 'benefit', 'illeg', 'california', '``', 'skyrocket', 'cost', 'obamacar', '.', ""''""]"
2091.json,false,"['democrat', 'get', 'way', ',', 'everi', 'incom', 'tax', 'bracket', 'increas', 'jan.', '<num>', ',', '<num>', '.', 'everi', 'singl', 'one', '.']"
12972.json,mostly-true,"['parent', 'teacher', 'alreadi', 'worri', 'call', 'trump', 'effect', '.', 'report', 'bulli', 'harass', 'rise', 'school', ',', 'especi', 'target', 'student', 'color', ',', 'muslimsand', 'immigr', '.']"
11937.json,barely-true,"['block', 'u.s.', 'suprem', 'court', 'nomin', 'remain', 'month', 'presid', 'obama', 'term', 'would', 'leav', 'nation', 'highest', 'court', 'unpreced', 'year-long', 'vacanc', '.']"
10188.json,false,"['jeann', 'shaheen', 'princip', 'involv', 'plot', 'loi', 'lerner', 'presid', 'barack', 'obama', 'polit', 'appointe', 'ir', 'lead', 'program', 'harass', 'conserv', 'nonprofit', 'group', '<num>', 'elect']"
4982.json,true,"['say', 'king', 'street', 'patriot', 'held', 'fundrais', 'featur', 'author', 'believ', 'regist', 'poor', 'vote', 'un-american', '.']"
5033.json,true,"['one', 'dozen', '(', 'senat', ')', 'vote', 'bridg', 'nowher', '.']"
1746.json,false,"['whether', 'run', 'u.s.', 'senat', 'independ', '.']"
6343.json,barely-true,"['say', 'romney', 'uniform', '<num>', 'winter', 'olymp', 'game', 'made', 'burma', '.']"
120.json,true,"['one', 'stroke', 'pen', ',', 'presid', 'bush', 'deni', 'health', 'insur', '<num>', 'million', 'kid', 'due', 'get', 'bipartisan', 'expans', 'children', ""'s"", 'health', 'insur', 'program', '.']"
7849.json,mostly-true,"['say', 'nearli', '<num>', 'percent', 'american', 'support', 'construct', 'pipelin', ',', 'schrader', 'need', 'explain', 'oregon', 'famili', 'vote', 'need', 'project', '.']"
3567.json,false,"['libya', 'suppli', 'oil', 'china', '.', 'get', 'oil', 'libya', '.']"
4003.json,false,"['republican', 'plan', 'end', 'medicar', '.']"
1734.json,barely-true,"['current', '<num>', '-', '<num>', '%', 'american', 'pay', 'tax', '.']"
11448.json,pants-fire,"['say', 'cnn', 'delet', 'onlin', 'poll', 'show', 'berni', 'sander', 'first', 'democrat', 'presidenti', 'debat', 'help', 'hillari', 'clinton', '.']"
515.json,half-true,"['casualti', 'death', '(', ')', 'lowest', 'point', 'sinc', 'liter', 'begin', 'war', '.']"
3325.json,false,"['claim', 'wisconsin', 'senat', 'major', 'leader', 'scott', 'fitzgerald', 'said', ':', 'necessari', 'elimin', 'union', 'order', 'balanc', 'futur', 'budget', '.']"
1154.json,barely-true,"['government-run', ""'public"", ""'"", 'plan', '...', 'forc', 'employ', 'drop', 'employe', 'coverag', 'due', 'rise', 'cost', 'pay', 'addit', '<num>', '%', 'payrol', 'tax', 'worker', '.']"
10325.json,pants-fire,"['congress', 'special', 'group', 'peopl', '.', '<num>', 'percent', 'never', 'left', 'unit', 'state', '.']"
5375.json,half-true,"['say', 'ban', 'text', 'drive', 'austin', '.']"
2206.json,mostly-true,"['state', 'budget', 'gone', '<num>', 'percent', 'rick', 'perri', '.']"
5215.json,mostly-true,"['romney', 'director', 'damon', 'corpor', ',', 'compani', 'defraud', 'medicar', 'million', '.']"
6086.json,false,"['say', 'barack', 'obama', 'support', 'ted', 'kennedi', 'ammo', 'ban', 'outlaw', 'deer-hunt', 'ammunit', '.']"
6490.json,half-true,"['paul', 'ryan', 'would', 'outlaw', 'vitro', 'fertil', '.']"
13106.json,barely-true,"['say', 'marco', 'rubio', 'vote', 'everi', 'bill', 'would', 'help', 'keep', 'famili', 'safe', '.', 'even', 'vote', 'bipartisan', 'measur', ',', 'introduc', 'republican', ',', 'prevent', 'peopl', 'no-fli', 'list', 'purchas', 'gun', '.']"
8238.json,pants-fire,"['account', 'attack', 'benghazi', 'written', 'former', 'white', 'hous', 'press', 'secretari', 'dee', 'dee', 'myer', 'show', 'bodi', 'u.s.', 'ambassador', 'libya', 'christoph', 'steven', 'drag', 'street', 'abus', '.']"
11275.json,true,"['state', 'texa', 'fund', 'women', 'health', 'servic', 'histor', 'high', 'level', ';', 'increas', 'level', 'anoth', '$', '<num>', 'million', 'next', 'two', 'year', '.']"
7082.json,true,"['say', 'tennesse', 'higher', 'educ', 'fund', 'model', '<num>', 'percent', 'outcomes-bas', 'alreadi', 'see', 'model', 'chang', 'way', 'postsecondari', 'institut', 'busi', '.']"
7431.json,mostly-true,"['without', 'medicaid', 'expans', ',', '<num>', 'ohioan', 'could', 'get', 'primari', 'care', 'emerg', 'room', ',', 'cost', 'everybodi', 'lot', 'money', '.']"
1242.json,half-true,"['truth', 'oil', 'would', 'drill', 'could', 'sent', 'countri', 'world', ',', 'reduc', 'use', 'foreign', 'oil', 'one', 'singl', 'drop', '.']"
4299.json,pants-fire,"['say', 'senat', 'resolut', 'would', 'restor', '$', '<num>', 'monthli', 'gener', 'assist', 'payment', 'prevent', 'peopl', 'commit', 'crime', '.']"
1396.json,mostly-true,"['presid', 'bush', 'took', 'offic', '<num>', ',', 'inherit', '$', '<num>', 'billion', 'budget', 'surplu', ',', 'project', '<num>', '-year', 'surplu', '$', '<num>', 'trillion', '.', 'end', 'term', ',', 'left', '$', '<num>', 'trillion', 'deficit', 'project', '<num>', '-year', 'shortfal', '$', '<num>', 'trillion', '.']"
6305.json,true,"['rhode', 'island', 'pay', 'among', 'highest', 'auto', 'repair', 'bill', 'nation', '.']"
635.json,mostly-true,"['john', 'mccain', 'seven', 'hous', '.']"
831.json,mostly-true,"['barack', 'obama', 'said', '``', 'peopl', 'make', 'less', '$', '<num>', 'would', 'benefit', 'plan', ""''"", 'said', '``', ""'re"", 'famili', 'make', 'less', '$', '<num>', ',', ""'ll"", 'benefit', '.', ""''""]"
8248.json,mostly-true,"['presid', 'obama', 'act', 'libya', '<num>', ',', 'american', 'peopl', 'oppos', 'militari', 'action', '<num>', '<num>', '.', 'took', 'action', ',', 'support', '<num>', '<num>', '.']"
12534.json,false,"['run', 're-elect', 'u.s.', 'senat']"
6272.json,half-true,"['portland-milwauki', 'light', 'rail', 'transit', 'project', 'creat', '<num>', 'direct', 'job', 'june', '<num>', ',', '<num>', '.']"
8698.json,pants-fire,"['fact', 'one', 'town', 'three', 'lane', 'dedic', ',', 'kind', 'get', 'sauc', '.']"
12802.json,half-true,"['independ', 'analyst', 'found', 'trump', 'tax', 'plan', ',', 'given', 'wealthi', 'big', 'corpor', ',', 'would', 'rack', '$', '<num>', 'trillion', 'debt', '.']"
12891.json,true,"['overdos', 'number', 'one', 'accident', 'killer', 'commonwealth', '.']"
4489.json,true,"['toledo', 'mayor', 'mike', 'bell', '(', ')', 'lost', 'job', 'firefight', 'citi', 'ran', 'money', '.']"
7633.json,half-true,"['south', 'carolina', ',', 'women', 'earn', '<num>', 'cent', 'dollar', 'men', 'earn', '.']"
4486.json,mostly-true,"['say', 'panhandl', 'highest-ev', 'bed', 'tax', 'collect', '<num>', '.']"
7342.json,true,"['say', 'max', 'carri', '<num>', 'percent', 'even', 'rush-hour', 'commut', 'travel', 'downtown', 'sunset', 'banfield', 'freeway', '.']"
646.json,false,"['whether', 'want', 'vice', 'presid', '.']"
2152.json,pants-fire,"['there', 'neg', 'advertis', 'campaign', '.']"
2627.json,barely-true,"['mark', 'kirk', ':', 'lie', 'go', 'war', '.', 'oppos', 'middl', 'class', 'tax', 'cut', '.', 'said', 'unemploy', 'big', 'issu', '.']"
12063.json,pants-fire,"['say', 'hillari', 'clinton', 'told', 'de', 'moin', 'regist', 'aug.', '<num>', ',', '<num>', ':', 'get', 'nra', 'shut', 'good', 'becom', 'presid', '.', 'ban', 'handgun', ',', '.']"
9938.json,pants-fire,"['depriv', 'underprivileg', 'children', 'meat-bas', 'protein', 'school', 'lunch', 'like', 'depriv', 'sourc', 'protein', 'day', '.']"
3463.json,half-true,"['say', 'allen', 'west', 'help', 'thwart', 'terrorist', 'plot', 'shoot', 'gun', 'direct', 'iraqi', 'detaine', ',', 'report', 'incid', 'superior', 'said', 'wrong', '.']"
12468.json,pants-fire,"['dog', 'meat', 'festiv', 'yulin', ',', 'china', ',', 'threaten', 'global', 'public', 'health', '.']"
2721.json,pants-fire,"['say', 'republican', 'candid', 'key', 'wisconsin', 'assembl', 'race', 'side', 'want', 'privat', 'social', 'secur', '--', 'risk', 'retir', 'wall', 'street', '.']"
8528.json,true,"['financ', 'expert', 'estim', 'pay', 'cash', '$', '<num>', 'billion', 'project', 'fund', 'sale', 'tax', 'save', 'gwinnett', 'counti', '$', '<num>', 'billion', 'interest', 'payment', '.']"
4668.json,half-true,"['sherrod', 'brown', 'past', 'decad', 'd.c.', 'politician', ',', 'one', 'everi', 'four', 'job', 'left', 'america', ',', 'left', 'ohio', '.', '...', 'sherrod', 'brown', 'horrend', 'ohio', 'job', 'number', 'next', 'year', '.']"
12837.json,false,"['say', 'milwauke', 'counti', 'district', 'attorney', 'candid', 'verona', 'swanigan', 'work', 'prosecutor', '.']"
9065.json,true,"['georgia', 'save', '$', '<num>', 'million', 'chang', 'crimin', 'sentenc', '.']"
7453.json,mostly-true,"['two-third', 'consumpt', 'servic', '.', '.', '.', 'opposit', 'sale', 'tax', 'enact', '30', '.']"
5217.json,half-true,"['never', 'earthquak', 'youngstown', 'john', 'kasich', 'elect', 'governor', ',']"
7862.json,mostly-true,"['offic', '<num>', '-step', 'walk', 'governor', 'offic', '.']"
12442.json,false,"['say', 'donald', 'trump', 'second-highest', 'disapprov', 'rate', 'anyon', 'run', 'presid', '.']"
4941.json,true,"['sherrod', 'brown', 'run', 'public', 'offic', 'sinc', 'richard', 'nixon', 'presid', '.']"
7055.json,false,"['ryan', 'budget', 'get', 'rid', 'medicar', '<num>', 'year', 'turn', 'voucher', 'program', '.']"
10437.json,pants-fire,"['assault', 'weapon', 'violenc', ':', 'duck', 'protect', 'peopl', 'virginia', '.']"
9668.json,false,"['increas', 'garbag', 'tax', '[', 'mayor', 'allan', 'fung', ']', 'impos', 'cranston', 'peopl', 'much', '$', '<num>', '.']"
8932.json,barely-true,"['state', 'commerc', 'secretari', ',', 'mari', 'burk', 'draft', ',', 'sponsor', 'promot', 'budget', 'rais', 'tax', 'billion', ',', 'creat', 'high', 'structur', 'deficit', 'raid', 'fund', 'financ', 'huge', 'spend', 'hike', '.']"
1412.json,pants-fire,"['high', 'administr', 'cost', 'donat', 'haiti', 'relief', 'white', 'hous', 'web', 'site', '.']"
13384.json,pants-fire,"['say', 'hillari', 'clinton', 'want', 'let', 'peopl', 'pour', '.', 'could', '<num>', 'million', 'peopl', 'pour', 'noth', '.', 'think', '.', 'that', 'could', 'happen', '.', 'tripl', 'size', 'countri', 'one', 'week', '.']"
2584.json,false,"['(', 'jeff', ')', 'atwat', 'busi', 'help', 'friend', 'wast', 'tax', 'dollar', '--', '$', '<num>', 'million', 'govern', 'build', 'lavish', 'dub', 'taj', 'mahal', ',', '$', '<num>', 'golf', 'musuem', ',', '$', '<num>', 'million', 'build', 'privat', 'prison', 'help', 'big', 'contributor', '.']"
3162.json,false,"['despit', 'claim', 'keep', 'health', 'care', 'plan', 'like', ',', 'obama', 'administr', 'predict', 'mani', '<num>', '<num>', 'american', 'employer-provid', 'health', 'coverag', 'could', 'lose', 'current', 'health', 'plan', '.']"
6503.json,half-true,"['support', 'charter', 'school', 'amend', '.']"
5805.json,false,"['year', 'state', 'legislatur', ',', 'never', 'vote', 'tax', 'increas', '.']"
2701.json,mostly-true,"['lawyer', 'brought', 'case', 'nationsbank', 'said', 'publicli', 'alex', 'sink', 'noth', 'case', ',', 'noth', 'situat', 'didnt', 'know', 'problem', '.']"
10332.json,true,"['spend', 'million', 'individu', 'held', 'guantanamo', 'bay', ',', 'cuba', '.']"
1381.json,mostly-true,"['texa', 'last', '(', '50th', ')', 'spend', 'mental', 'health', 'care', '.']"
617.json,barely-true,"['barack', 'obama', 'promis', 'higher', 'tax', '``', 'sale', 'home', '.', ""''""]"
13379.json,false,"['say', 'fbi', 'director', 'jame', 'comey', 'letter', 'new', 'develop', 'investig', 'email', 'went', 'republican', 'member', 'hous', '.']"
1313.json,true,"['barack', 'obama', 'wo', ""n't"", 'even', 'use', 'term', ""'war"", 'terror', '.', ""'""]"
8526.json,half-true,"['wendi', 'davi', 'fight', 'bring', '...', 'bloomberg-styl', 'gun', 'control', 'texa', '.']"
3079.json,mostly-true,"['feder', 'law', ',', 'jare', 'loughner', 'would', 'abl', 'buy', 'gun', 'identifi', 'mental', 'ill', '.']"
3723.json,barely-true,"['two', 'million', 'feder', 'worker', 'negoti', 'zippo', ',', 'zero', '.', 'collect', 'bargain', 'feder', 'employe', '.']"
930.json,barely-true,"['congression', 'budget', 'offic', '``', 'estim', '<num>', 'percent', 'stimulu', 'packag', 'spent', '<num>', ""''"", '<num>', 'percent', '<num>', '.']"
5937.json,mostly-true,"['say', 'repres', 'repres', 'half', 'san', 'antonio-root', 'district', 'seek', 'elect', '.']"
7642.json,half-true,"['fewest', 'peopl', 'employ', 'countri', 'sinc', '<num>', '.']"
6823.json,false,"['say', 'u.s.', 'senat', 'oppon', 'tammi', 'baldwin', 'support', 'feder', 'budget', 'spent', 'trillion', '--', 'billion', ',', 'trillion', '--', 'money', 'obama', 'budget', '.']"
10937.json,half-true,"['twenty-f', 'percent', 'peopl', 'countri', 'said', 'chang', 'email', 'phone', 'habit', 'collect', 'data', 'allow', 'patriot', 'act', '.']"
8438.json,false,"['say', 'presid', 'barack', 'obama', ',', 'debt', 'increas', '<num>', 'percent', ',', 'less', 'presid', 'go', 'back', 'ronald', 'reagan', '.']"
13016.json,half-true,"['secur', 'commun', 'program', '<num>', '(', 'g', ')', 'immigr', 'program', 'program', 'work', 'recklessli', 'gut', 'obama', 'administr', '.']"
10199.json,true,"['spent', '$', '<num>', 'campaign', 'governor', '.']"
10613.json,barely-true,"['say', 'susan', 'rice', ',', 'presid', 'nation', 'secur', 'advis', ',', 'alreadi', 'conced', 'iran', 'robust', 'uranium', 'enrich', 'capabl', '.']"
12920.json,barely-true,"['there', 'local', 'option', 'allow', 'commun', 'ban', ',', 'limit', 'restrict', 'locat', 'pot', 'shop', ',', 'amend', '<num>', 'pass', 'expect', 'seedi', 'element', 'pot', 'industri', 'move', 'right', 'next', 'door', 'neighborhood', ',', 'church', ',', 'busi', 'even', 'child', 'school', '.']"
1939.json,pants-fire,"['decis', 'whether', 'fire', 'gen.', 'stanley', 'mcchrystal', ',', 'presid', 'obama', 'fix', 'yet', 'anoth', 'problem', 'inherit', 'bush', 'administr', '.']"
12719.json,half-true,"['say', 'hillari', 'clinton', 'lie', 'parent', 'name', 'hillari', '.']"
6245.json,pants-fire,"['health', 'care', 'law', 'impos', 'largest', 'tax', 'increas', 'histori', 'middl', 'class', '.']"
9491.json,true,"['number', 'terrorist', 'doubl', '.']"
8734.json,mostly-true,"['espionag', 'act', ',', '(', 'edward', 'snowden', 'would', ')', 'allow', 'come', 'court', 'say', 'justifi', 'disclos', 'inform', '.', 'whistleblow', 'except', 'espionag', 'act', '.']"
5231.json,half-true,"['median', 'incom', 'countri', 'declin', '<num>', 'percent', 'last', 'four', 'year', '.']"
5864.json,mostly-true,"['ask', 'tax', 'increas', 'run', 'citi', 'govern', '.']"
10292.json,true,"['unlik', 'marijuana', ',', 'medic', 'cannabi', 'oil', 'get', 'high', '.']"
5908.json,barely-true,"['say', 'jeff', 'reardon', 'cut', 'elementari', 'school', 'music', 'class', ',', 'art', 'instruct', ',', 'teach', 'posit', ',', 'basketbal', 'volleybal', 'program', ',', 'vote', 'rais', 'school', 'lunch', 'price', '.']"
2915.json,false,"['florida', ',', 'illeg', 'immigr', 'cost', 'taxpay', 'nearli', '$', '<num>', 'billion', '(', 'year', ')', '.', 'amount', '$', '<num>', 'everi', 'household', 'florida', '.']"
11361.json,true,"['there', 'money', 'plan', 'parenthood', 'bill', 'would', 'keep', 'govern', 'open', '.']"
4180.json,barely-true,"['hous', 'pass', 'cut', ',', 'cap', 'balanc', 'bipartisan', 'support', '.']"
3628.json,barely-true,"['tim', 'kain', 'broke', 'campaign', 'promis', 'rais', 'tax', '.']"
9915.json,mostly-true,"['children', 'wit', 'domest', 'violenc', 'twice', 'like', 'commit', '.']"
10811.json,false,"['reauthor', 'export-import', 'bank', '.']"
5332.json,barely-true,"['say', 'gov', '.', 'bob', 'mcdonnel', 'budget', 'would', 'cut', 'pre-kindergarten', 'program', '.']"
644.json,mostly-true,"['joe', 'biden', 'wrote', 'violenc', 'women', 'act', '...', 'rate', 'domest', 'violenc', 'went', 'dramat', '.']"
1822.json,mostly-true,"['last', 'year', ',', '(', 'bill', 'mccollum', ')', 'spent', '$', '<num>', 'million', 'dollar', 'produc', 'air', 'campaign-styl', 'tv', 'ad', 'featur', 'almost', 'everi', 'frame', '.']"
3917.json,true,"['alreadi', '$', '<num>', 'billion', 'worth', 'debt', '.']"
938.json,true,"['salmonella', 'sourc', 'final', 'identifi', ',', 'fda', 'offici', 'wait', 'industri', 'approv', 'could', 'go', 'live', '[', 'peanut', ']', 'recal', '.']"
8797.json,true,"['weve', 'privat', 'sector', 'doubl', 'invest', 'made', 'public', 'sector', 'quonset', 'busi', 'park', '.']"
9214.json,barely-true,"['women', 'paid', '<num>', 'cent', 'everi', '$', '<num>', 'men', 'get', 'work', '.']"
6925.json,barely-true,"['governor', ',', 'mitt', 'romney', 'rais', 'nurs', 'home', 'fee', 'eight', 'time', '.']"
8018.json,pants-fire,"['say', 'texa', 'abort', 'measur', 'pass', ',', 'someon', 'live', 'el', 'paso', 'would', 'drive', '<num>', 'mile', 'way', 'san', 'antonio', 'someth', 'simpl', 'cervic', 'cancer', 'screen', '.']"
12295.json,mostly-true,"['pari', 'agreement', 'far', 'largest', 'number', 'countri', 'ever', 'sign', 'intern', 'agreement', 'singl', 'day', '.']"
4328.json,true,"['say', 'wall', 'street', 'hedg', 'fund', 'manag', 'pay', 'lower', 'tax', 'rate', 'sheet', 'metal', 'worker', 'parma', 'school', 'teacher', 'cleveland', '.']"
3482.json,pants-fire,"['woonsocket', 'need', 'garbage-burn', 'power', 'plant', 'resid', 'pay', 'nose', 'electr', 'that', 'fuel', 'foreign', 'oil', ',', 'price', 'skyrocket', '.']"
8678.json,barely-true,"['use', 'little-known', 'loophol', '...', 'obama', 'minion', 'allow', 'nestl', 'compani', 'export', 'preciou', 'fresh', 'water', 'lake', 'michigan', '.']"
5589.json,barely-true,"['everi', '<num>', 'percent', 'increas', 'cost', 'health', 'insur', 'today', 'caus', '<num>', 'georgian', 'uninsur', '.']"
2763.json,half-true,"['say', 'washington', 'state', 'consist', 'rank', 'top', 'five', 'forb', 'list', 'best', 'state', 'busi', 'ahead', 'texa', '.']"
8726.json,barely-true,"['obama', 'administr', 'offer', 'magic', 'number', 'peopl', 'need', 'sign', 'health', 'care', 'marketplac', '.']"
9445.json,false,"['news', 'broke', 'veteran', 'die', 'inadequ', 'health', 'care', 'harri', 'reid', 'senat', 'democrat', 'take', 'action', '.']"
4305.json,false,"['say', 'rick', 'perri', 'want', 'seced', 'union', '.']"
12496.json,half-true,"['fact', 'economi', 'better', 'democrat', 'white', 'hous', '.']"
6077.json,barely-true,"['governor', ':', 'romney', 'keep', 'public', 'safeti', 'fund', 'line', 'inflat', '.']"
6413.json,half-true,"['reduc', 'fund', 'educ', 'least', '.', 'theyv', 'suffer', 'least', 'cut', '.']"
3881.json,half-true,"['say', 'feder', 'govern', 'threaten', 'impos', 'no-fli', 'zone', 'texa', 'state', 'legisl', 'bar', 'airport', 'secur', 'offici', 'perform', 'pat-down', '.']"
1580.json,pants-fire,"['say', 'texa', 'state', 'board', 'educ', 'consid', 'elimin', 'refer', 'christma', 'constitut', 'textbook', '.']"
1962.json,mostly-true,"['gov', '.', 'rick', 'perri', 'broke', 'promis', 'would', 'accept', '$', '<num>', 'pay', 'increas', '.']"
6694.json,half-true,"['u.s.-isra', 'relat', ',', 'prime', 'minist', 'benjamin', 'netanyahu', 'set', 'record', 'straight', 'said', ',', 'two', 'countri', 'exactli', 'polici', '(', ')', 'secur', 'cooper', 'unpreced', '.']"
11959.json,mostly-true,"['malawi', '<num>', 'doctor', '<num>', 'million', 'peopl', '.']"
10819.json,mostly-true,"['doubl', 'size', 'compani', '(', 'hewlett-packard', ')', '.']"
1369.json,false,"['medicaid', 'provis', 'ad', 'senat', 'health', 'carereform', 'bill', '``', 'special', 'deal', 'nebraska', '.', ""''""]"
13283.json,true,"['say', 'warren', 'buffett', 'publicli', 'said', 'secretari', 'pay', 'higher', 'tax', 'rate', '.']"
1438.json,mostly-true,"['major', 'american', 'still', 'oppos', 'health', 'care', 'bill', '.']"
424.json,barely-true,"['husband', ""n't"", 'wrap', 'nomin', 'june', '.']"
3840.json,half-true,"['went', '$', '<num>', 'trillion', 'surplu', 'georg', 'bush', 'inherit', '...', '$', '<num>', '-plu', 'trillion', 'debt', 'georg', 'bush', 'left', 'offic', '.']"
9303.json,true,"['<num>', 'bill', 'pass', 'law', ',', '<num>', 'least', 'product', 'year', 'congression', 'histori', 'sinc', 'weve', 'keep', 'record', '.']"
928.json,mostly-true,"['obama', 'tap', 'porn', 'lawyer', '#', '<num>', 'justic', '.']"
11909.json,barely-true,"['say', 'jeb', 'bush', 'said', 'would', 'take', 'pant', 'moon', 'everybodi', '...', 'nobodi', 'report', '.']"
7509.json,false,"['georgia', 'lax', 'gun', 'law', 'nation', '.']"
13395.json,true,"['say', 'donald', 'trump', ',', 'even', 'said', ',', 'first', 'day', 'offic', ',', 'would', 'requir', 'everi', 'school', 'america', 'let', 'peopl', 'carri', 'gun', 'classroom', '.']"
9424.json,false,"['chamber', 'commerc', 'say', 'new', 'carbon', 'regul', 'kill', '<num>', 'job', 'year', 'cost', 'averag', 'famili', '$', '<num>', 'year', '.']"
4887.json,true,"['say', 'follow', 'state', 'law', 'preced', 'massachusett', 'governor', 'eras', 'electron', 'commun', 'left', 'offic', '.']"
3649.json,false,"['say', 'mani', 'state', 'flounder', 'crush', 'deficit', 'spend', '.']"
1613.json,barely-true,"['florida', ""'s"", 'legal', 'challeng', 'feder', 'health', 'care', 'bill', '``', 'bipartisan', '.', ""''""]"
